date,adgroup,criteria,clicks,impressions,cost,campaign
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Video_2,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Video_1,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Video_3,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Image_1001,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_Retargeting_EKYC,Video_3,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_Retargeting_EKYC,Image_1001,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_Retargeting_EKYC,Carousel_1001,29,664,43447,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Carousel_1001,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Image_1002,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_Retargeting_EKYC,Image_1002,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Video_1201,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Image_1102,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Image_0103,688,16530,1382270,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Reel ads,590,16821,1116561,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Reel ads,0,0,0,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_Bank_CC,Image_0103,1327,24738,2539597,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_TPB DOP_Bank_CC,Image_0204,16,1553,41407,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_TPB DOP_Bank_CC,Image_0104,711,19031,1621478,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_TPB DOP_Bank_CC,Video_0103,101,1769,203656,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_TPB DOP_Bank_CC,Collection_2,683,22453,1686301,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_LAL2_6%Esign_Esign,Image_0103,605,39895,2205495,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_LAL2_6%Esign_Esign,Ad 3,361,68711,1370201,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_LAL2_6%Esign_Esign,Video_0103,15,739,45426,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_LAL2_6%Esign_Esign,Image_0104,284,19169,1054843,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_LAL2_6%Esign_Esign,Image_0204,1,487,5753,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_LAL2_6%Esign_Esign,Image_0107,5,2689,23795,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_TPB DOP_Bank_CC,Image_0107,61,7774,141916,EVO_Conv_TPB DOP_Esign
2023-09-21,EVO_Conv_TPB DOP_Retargeting_EKYC,Image_0103,473,8420,1053566,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_Retargeting_EKYC,Video_3,32,428,74555,EVO_Conv_TPB DOP_EKYC
2023-09-21,EVO_Conv_TPB DOP_LALEsign_EKYC,Video_3,99,1773,198193,EVO_Conv_TPB DOP_EKYC
